HIP,Fe,Li,C,O,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Y,f_x,f_y,f_z,f_disk,Exo,Multi,discoverymethod,MaxPMass,StarMass
97612,0.0,,,,-0.11,0.04,-0.23,-0.1,-0.09,0.21,-0.07,0.01,-0.07,-0.2,-0.04,-0.04,,12.66,-24.225,49.739,thin ,0.0,0.0,None,0.0,0.0
97613,-0.03,,,,-0.08,-0.01,-0.06,0.02,0.03,,-0.06,,0.0,,,-0.03,,86.89,-166.264,-94.418,N/A ,0.0,0.0,None,0.0,0.0
97635,0.06,-3.04,0.19,0.14,0.46,0.26,0.19,0.26,0.15,0.16,0.12,0.27,0.14,0.3,0.37,0.34,0.13,17.01,-32.459,48.61,thin ,0.0,0.0,None,0.0,0.0
97650,-0.1,,0.17,0.33,-0.09,-0.12,0.07,-0.17,-0.1,0.07,-0.09,0.4,-0.04,-0.19,0.13,-0.15,0.15,12.528,-23.868,-5.124,thin ,0.0,0.0,None,0.0,0.0
97665,-0.32,,-0.38,-0.17,-0.45,-0.3,-0.44,-0.29,-0.3,-0.22,-0.42,-0.31,-0.36,-0.65,-0.36,-0.4,,70.538,-134.183,178.755,thin ,0.0,0.0,None,0.0,0.0
97675,0.15,-0.63,0.11,0.05,0.16,0.2,0.14,0.16,0.2,0.26,0.16,0.11,0.15,0.06,0.21,0.16,0.24,8.919,-16.947,3.52,thin ,0.0,0.0,None,0.0,0.0
97676,0.15,,,0.07,0.05,0.06,0.03,0.12,0.11,0.23,0.1,0.03,0.12,0.01,0.18,0.16,0.09,27.374,-52.015,-2.938,thin ,0.0,0.0,None,0.0,0.0
97689,-0.3,,,,-0.63,-0.36,-0.56,-0.46,-0.46,-0.29,-0.47,-0.41,-0.48,-0.74,-0.37,-0.48,-0.69,45.331,-85.953,213.693,thin ,0.0,0.0,None,0.0,0.0
97723,-0.2,,-0.25,-0.14,-0.23,-0.15,-0.21,-0.23,-0.14,-0.02,-0.16,-0.09,-0.12,-0.42,-0.14,-0.16,,66.6,-125.839,174.405,thin ,0.0,0.0,None,0.0,0.0
97747,-1.44,,,,-1.64,-1.12,,-1.22,-1.14,,-1.26,-1.43,-1.62,-1.82,,-1.56,,152.97,-288.22,32.067,N/A ,0.0,0.0,None,0.0,0.0
97767,-0.12,-2.12,-0.01,0.16,-0.11,0.05,0.02,-0.03,-0.01,0.06,-0.03,-0.09,-0.16,-0.31,-0.04,-0.11,-0.09,12.414,-23.333,5.439,thin ,0.0,0.0,None,0.0,0.0
